MJD	Frequency(GHz)	Fluxdensity(mJy)	error(mJy)
59439.04	2.6	4.71	0.14
59439.04	3.4	5.328	0.093
59439.04	5.1	10.012	0.058
59439.04	7	15.607	0.057
59439.04	13.7	24.088	0.055
59439.04	16.5	25.573	0.059
59439.04	31.1	35.973	0.14
59439.04	34.9	38.318	0.16
			
59440.08	2.6	18.206	0.11
59440.08	3.4	23.366	0.1
59440.08	5.1	33.454	0.059
59440.08	7	39.663	0.055
59440.08	13.7	40.939	0.062
59440.08	16.5	41.636	0.063
59440.08	31.1	44.762	0.14
59440.08	34.9	46.68	0.15
			
59443.99	2.6	68.929	0.37
59443.99	3.4	73.933	0.11
59443.99	5.1	67.597	0.087
59443.99	7	58.65	0.068
59443.99	13.7	47.847	0.066
59443.99	16.5	46.81	0.063
59443.99	31.1	48.13	0.14
59443.99	34.9	49.924	0.16
			
59446.01	2.6	88.695	0.21
59446.01	3.4	78.259	0.11
59446.01	5.1	60.457	0.065
59446.01	7	50.875	0.057
59446.01	13.7	43.692	0.054
59446.01	16.5	42.418	0.055
59446.01	31.1	46.076	0.12
59446.01	34.9	48.49	0.14
			
59446.99	2.6	84.443	0.34
59446.99	3.4	82.034	0.13
59446.99	5.1	63.977	0.083
59446.99	7	51.883	0.062
59446.99	13.7	41.854	0.056
59446.99	16.5	40.83	0.056
59446.99	31.1	43.653	0.12
59446.99	34.9	45.965	0.13
			
59451.01	2.6	92.534	0.24
59451.01	3.4	83.135	0.19
59451.01	5.1	61.832	0.074
59451.01	7	52.291	0.059
59451.01	13.7	44.133	0.054
59451.01	16.5	42.894	0.061
59451.01	31.1	47.067	0.12
59451.01	34.9	48.103	0.13
			
59461.01	2.6	94.467	0.22
59461.01	3.4	85.812	0.17
59461.01	5.1	65.115	0.074
59461.01	7	57.617	0.064
59461.01	13.7	54.102	0.06
59461.01	16.5	54.536	0.065
59461.01	31.1	70.776	0.15
59461.01	34.9	77.042	0.16
			
59463.02	2.6	88.638	0.2
59463.02	3.4	80.579	0.17
59463.02	5.1	60.766	0.069
59463.02	7	56.003	0.062
59463.02	13.7	51.457	0.068
59463.02	16.5	54.259	0.074
59463.02	31.1	75.224	0.17
59463.02	34.9	82.831	0.18
			
59466.04	2.6	58.862	0.17
59466.04	3.4	58.434	0.13
59466.04	5.1	54.499	0.067
59466.04	7	54.364	0.068
			
59467.99	2.6	81.96	0.23
59467.99	3.4	75.044	0.15
59467.99	5.1	60.253	0.061
59467.99	7	55.839	0.055
59467.99	13.7	55.46	0.057
59467.99	16.5	57.657	0.059
59467.99	31.1	85.302	0.13
59467.99	34.9	94.908	0.14
			
59470.01	2.6	74.216	0.24
59470.01	3.4	67.992	0.14
59470.01	5.1	56.608	0.058
59470.01	7	54.465	0.056
59470.01	13.7	56.891	0.061
59470.01	16.5	60.279	0.063
59470.01	31.1	92.384	0.14
59470.01	34.9	103.52	0.15
			
59487.96	2.6	65.358	0.18
59487.96	3.4	60.804	0.13
59487.96	5.1	49.879	0.061
59487.96	7	46.096	0.058
59487.96	13.7	51.336	0.074
59487.96	16.5	55.64	0.083
59487.96	31.1	92.061	0.14
59487.96	34.9	103.31	0.16
			
59510.94	2.6	27.414	0.13
59510.94	3.4	30.985	0.086
59510.94	5.1	36.454	0.052
59510.94	7	38.595	0.05
			
59511.92	2.6	36.139	0.13
59511.92	3.4	36.456	0.11
59511.92	5.1	36.228	0.053
59511.92	7	38.215	0.053
59511.92	13.7	45.791	0.053
59511.92	16.5	50.332	0.052
59511.92	31.1	79.492	0.12
59511.92	34.9	88.439	0.13
			
59523.82	2.6	32.964	0.13
59523.82	3.4	32.519	0.092
59523.82	5.1	31.849	0.053
59523.82	7	32.08	0.049
59523.82	13.7	38.122	0.049
59523.82	16.5	41.511	0.05
59523.82	31.1	66.05	0.11
59523.82	34.9	72.993	0.12
			
59574.76	2.6	17.902	0.2
59574.76	3.4	17.739	0.18
59574.76	5.1	17.481	0.064
59574.76	7	19.527	0.06
59574.76	13.7	25.248	0.067
59574.76	16.5	26.955	0.061
59574.76	31.1	42.236	0.34
59574.76	34.9	47.137	0.35
			
59588.66	2.6	24.59	0.16
59588.66	3.4	22.702	0.14
59588.66	5.1	18.554	0.06
59588.66	7	18.619	0.051
59588.66	13.7	21.6	0.051
59588.66	16.5	22.164	0.053
59588.66	31.1	26.488	0.1
59588.66	34.9	27.475	0.11
			
59590.61	2.6	24.388	0.21
59590.61	3.4	22.617	0.11
59590.61	5.1	19.794	0.062
59590.61	7	19.169	0.052
59590.61	13.7	21.908	0.051
59590.61	16.5	22.994	0.047
59590.61	31.1	28.341	0.11
59590.61	34.9	29.746	0.12
			
59595.61	2.6	23.163	0.16
59595.61	3.4	20.742	0.13
59595.61	5.1	17.488	0.056
59595.61	7	17.871	0.057
59595.61	13.7	20.702	0.05
59595.61	16.5	21.855	0.048
59595.61	31.1	27.116	0.11
59595.61	34.9	28.356	0.11
			
60034.47	2.6	3.295	0.17
60034.47	3.4	3.342	0.12
60034.47	5.1	2.765	0.052
60034.47	7	2.347	0.049
60034.47	13.7	1.672	0.05
60034.47	16.5	1.526	0.051
60034.47	31.1	0.87	0.1
60034.47	34.9	0.862	0.11
			
60049.34	2.6	2.777	0.17
60049.34	3.4	2.82	0.078
60049.34	5.1	2.684	0.053
60049.34	7	2.373	0.046
60049.34	13.7	1.67	0.048
60049.34	16.5	1.541	0.048
60049.34	31.1	1.077	0.11
60049.34	34.9	1.113	0.12
			
60131.12	2.6	1.808	0.017
60131.12	3.4	1.999	0.014
60131.12	5.1	2.163	0.016
60131.12	7	2.336	0.018
60131.12	13.7	1.933	0.02
60131.12	16.5	1.923	0.022
60131.12	31.1	1.336	0.066
60131.12	34.9	1.306	0.079